source,event_id,eventDivisionid,name,athleteId,place,Points,incomplete
PWA,328,887,Maria Behrens,G-209,9,4476,False
PWA,328,887,Lucia Trivino Delgado,E-528,13,3645,False
PWA,328,887,Coraline Foveau,F-351,13,3645,False
PWA,328,887,Line Bang Wittrup,D-82,13,3645,False
PWA,328,887,Pauline Katz,SUI-678,13,3645,False
PWA,328,887,Lisa Wermeister,F-293,17,3120,False
PWA,328,887,Milanka Linde,G-1316,17,3120,False
PWA,332,894,Philip Köster,G-44,1,10000,False
PWA,332,894,Marc Paré,E-334,2,8500,False
PWA,332,894,Marcilio Browne,BRA-105,3,7650,False
PWA,332,894,Victor Fernandez,E-42,4,6885,False
PWA,332,894,Ricardo Campello,V-111,5,5718,False
PWA,332,894,Thomas Traversa,F-3,5,5718,False
PWA,332,894,Antoine Martin,F-193,5,5718,False
PWA,332,894,Leon Jamaer,G-208,5,5718,False
PWA,332,894,Robby Swift,K-89,9,4061,False
PWA,332,894,Klaas Voget,G-4,9,4061,False
PWA,332,894,Marino Gil Gherardi,E-959,9,4061,False
PWA,332,894,Takuma Sugi,J-7,9,4061,False
PWA,332,894,Dieter Van der Eyken,B-35,9,4061,False
PWA,332,894,Antoine Albert,NC-21,9,4061,False
PWA,332,894,Josep Pons,E-203,9,4061,False
PWA,332,894,Jules Denel,FRA-41,9,4061,False
PWA,332,894,Antony Ruenes,F-85,17,2693,False
PWA,332,894,Morgan Noireaux,HI-101,17,2693,False
PWA,332,894,Tim van Dam Sanchidrian,E-51,17,2693,False
PWA,332,894,Liam Dunkerbeck Morales,E-11,17,2693,False
PWA,332,894,Alexandre Grand-Guillot,F-585,17,2693,False
PWA,332,894,Graham Ezzy,USA-1,17,2693,False
PWA,332,894,Takara Ishii,J-20,17,2693,False
PWA,332,894,Miguel Chapuis,E-99,17,2693,False
PWA,332,894,Nicolas Akgazciyan,F-400,25,1784,False
PWA,332,894,Florian Jung,G-21,25,1784,False
PWA,332,894,Baptiste Cloarec,F-258,25,1784,False
PWA,332,894,Adrien Bosson,F-296,25,1784,False
PWA,332,894,Arthur Arutkin,F-7,25,1784,False
PWA,332,894,Laurin Schmuth,G-878,25,1784,False
PWA,332,894,Julian Salmonn,G-21,25,1784,False
PWA,332,894,Henri Kolberg,G-45,25,1784,False
PWA,332,895,Sarah-Quita Offringa,ARU-91,1,10000,False
PWA,332,895,Justyna Sniady,POL-1111,2,8500,False
PWA,332,895,Lina Erpenstein,G-3,3,7650,False
PWA,332,895,Steffi Wahl,G-303,4,6885,False
PWA,332,895,Maria Morales Navarro,E-737,5,5718,False
PWA,332,895,Maaike Huvermann,NED-108,5,5718,False
PWA,332,895,Marine Hunter,FRA-181,5,5718,False
PWA,332,895,Isabel Trivino Delgado,E-286,5,5718,False
PWA,332,895,Line Bang Wittrup,D-82,9,4262,False
PWA,332,895,Pauline Katz,SUI-678,9,4262,False
PWA,332,895,Maria Behrens,G-209,9,4262,False
PWA,332,895,Sol Degrieck,B-5,9,4262,False
PWA,332,895,Coraline Foveau,F-351,9,4262,False
PWA,332,895,Caroline Weber,G-118,9,4262,False
PWA,286,778,Ricardo Campello,V-111,1,10000,False
PWA,286,778,Philip Köster,G-44,2,8500,False
PWA,286,778,Marcilio Browne,BRA-105,3,7650,False
PWA,286,778,Victor Fernandez,E-42,4,6885,False
PWA,286,778,Jaeger Stone,KA-120,5,6370,False
PWA,286,778,Marc Paré,E-334,6,5930,False
PWA,286,778,Alex Mussolini,E-30,7,5285,False
PWA,286,778,"Jose ""Gollito"" Estredo",V-10,7,5285,False
PWA,286,778,Thomas Traversa,F-3,9,4476,False
PWA,286,778,Leon Jamaer,G-208,9,4476,False
PWA,286,778,Julian Salmonn,G-21,9,4476,False
PWA,286,778,Antoine Martin,F-193,9,4476,False
PWA,286,778,Robby Swift,K-89,13,3645,False
PWA,286,778,Omar Sanchez,E-33,13,3645,False
PWA,286,778,Amado Vrieswijk,NB-20,13,3645,False
PWA,286,778,Miguel Chapuis,E-99,13,3645,False
PWA,286,778,Alessio Stillrich,E-95,17,2693,False
PWA,286,778,Daniel Bruch,G-1181,17,2693,False
PWA,286,778,Adam Lewis,K-516,17,2693,False
PWA,286,778,Josep Pons,E-203,17,2693,False
PWA,286,778,Dieter Van der Eyken,B-35,17,2693,False
PWA,286,778,Loick Lesauvage,F-780,17,2693,False
PWA,286,778,Morgan Noireaux,HI-101,17,2693,False
PWA,286,778,Marino Gil Gherardi,E-959,17,2693,False
PWA,286,778,Takuma Sugi,J-7,25,1784,False
PWA,286,778,Pablo Ramírez Bolaños,E-244,25,1784,False
PWA,286,778,Antony Ruenes,F-85,25,1784,False
PWA,286,778,Ben Proffitt,K-800,25,1784,False
PWA,286,778,Francesco Cappuzzo,I-333,25,1784,False
PWA,286,778,Arthur Arutkin,F-7,25,1784,False
PWA,286,778,Takara Ishii,J-20,25,1784,False
PWA,286,778,Antoine Albert,NC-21,25,1784,False
PWA,286,778,Graham Ezzy,USA-1,33,983,False
PWA,286,778,Jules Denel,FRA-41,33,983,False
PWA,286,778,Moritz Mauch,G-103,33,983,False
PWA,286,778,Michael Friedl Morales,E-255,33,983,False
PWA,286,778,Gustav Haggstrom,S-7,33,983,False
PWA,286,778,Max Horchgrassl,E-50,33,983,False
PWA,286,778,Adam Warchol,POL-111,33,983,False
PWA,286,778,Logan Groenne,B-292,33,983,False
PWA,286,778,Valentino Pasquale,E-201,33,983,False
PWA,286,778,Dario Ojeda,E-211,33,983,False
PWA,286,778,Alexandre Grand-Guillot,F-585,33,983,False
PWA,286,778,José Romero,E-45,33,983,False
PWA,286,778,Eleazar Alonso Sanchez,E-41,33,983,False
PWA,286,778,Baptiste Cloarec,F-258,33,983,False
PWA,286,778,Jake Schettewi,US-25,33,983,False
PWA,286,778,Laurin Schmuth,G-878,33,983,False
PWA,286,779,Daida Ruano Moreno,E-64,1,10000,False
PWA,286,779,Justyna Sniady,POL-1111,2,8500,False
PWA,286,779,Sarah-Quita Offringa,ARU-91,3,7650,False
PWA,286,779,Iballa Ruano Moreno,E-63,4,6885,False
PWA,286,779,Alexia Kiefer Quintana,E-59,5,6370,False
PWA,286,779,Maaike Huvermann,NED-108,6,5930,False
PWA,286,779,Caterina Stenta,I-662,7,5285,False
PWA,286,779,Oda Johanne Brødholt,NOR-500,7,5285,False
PWA,286,779,Birgit Rieger,AUT-32,9,4476,False
PWA,286,779,Marine Hunter,FRA-181,9,4476,False
PWA,286,779,Greta Benvenuti,ITA-38,9,4476,False
PWA,286,779,Julia Pasquale,E-229,9,4476,False
PWA,286,779,Svetlana Kolpikova Bala,ESP-1010,13,3645,False
PWA,286,779,Serena Zoia,ESP-17,13,3645,False
PWA,286,779,Maeli Cherel,AUS-558,13,3645,False
PWA,286,779,Alexa Escherich,G-200,13,3645,False
PWA,286,779,Nicole Bandini,ITA-613,17,2896,False
PWA,286,779,Nuage Le Derff,F-605,17,2896,False
PWA,286,779,Maria Morales Navarro,E-737,17,2896,False
PWA,286,779,Coraline Foveau,F-351,17,2896,False
PWA,286,779,Mar De Arce,E-279,17,2896,False
PWA,288,780,Jaeger Stone,KA-120,1,10000,False
PWA,288,780,Victor Fernandez,E-42,2,8500,False
PWA,288,780,Philip Köster,G-44,3,7650,False
PWA,288,780,Ricardo Campello,V-111,4,6885,False
PWA,288,780,Thomas Traversa,F-3,5,5718,False
PWA,288,780,Antoine Martin,F-193,5,5718,False
PWA,288,780,Alex Mussolini,E-30,5,5718,False
PWA,288,780,Marcilio Browne,BRA-105,5,5718,False
PWA,288,780,Moritz Mauch,G-103,9,4061,False
