,source,event_id,heat_id,division_id,athlete_id,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points,heat_id_athlete_id
239,Live Heats,72452,1720247,168196,1165941,4.83,4.83,,,,0.0,0.0,13.739999999999998,1720247_1165941
240,Live Heats,72452,1720247,168196,1165941,6.77,6.77,,,True,0.0,0.0,13.739999999999998,1720247_1165941
241,Live Heats,72452,1720247,168196,1165941,5.7,5.7,,,,0.0,0.0,13.739999999999998,1720247_1165941
242,Live Heats,72452,1720247,168196,1165941,6.2,6.2,,,,0.0,0.0,13.739999999999998,1720247_1165941
243,Live Heats,72452,1720247,168196,1165941,6.97,6.97,,,True,0.0,0.0,13.739999999999998,1720247_1165941
244,Live Heats,72452,1720247,168196,1165941,5.17,5.17,,,,0.0,0.0,13.739999999999998,1720247_1165941
245,Live Heats,72452,1720247,168196,1165941,5.47,5.47,,,,0.0,0.0,13.739999999999998,1720247_1165941
246,Live Heats,72452,1720247,168196,1578513,3.9,3.9,,,,0.0,0.0,8.77,1720247_1578513
247,Live Heats,72452,1720247,168196,1578513,4.27,4.27,,,True,0.0,0.0,8.77,1720247_1578513
248,Live Heats,72452,1720247,168196,1578513,2.93,2.93,,,,0.0,0.0,8.77,1720247_1578513
249,Live Heats,72452,1720247,168196,1578513,4.5,4.5,,,True,0.0,0.0,8.77,1720247_1578513
250,Live Heats,72452,1720247,168196,1578513,3.17,3.17,,,,0.0,0.0,8.77,1720247_1578513
251,Live Heats,72452,1720247,168196,856823,0.0,0.0,,,True,0.0,0.0,0.0,1720247_856823
252,Live Heats,72452,1720248,168196,1334796,4.8,4.8,,,,0.0,0.0,13.86,1720248_1334796
253,Live Heats,72452,1720248,168196,1334796,5.53,5.53,,,,0.0,0.0,13.86,1720248_1334796
254,Live Heats,72452,1720248,168196,1334796,7.63,7.63,,,True,0.0,0.0,13.86,1720248_1334796
255,Live Heats,72452,1720248,168196,1334796,6.23,6.23,,,True,0.0,0.0,13.86,1720248_1334796
256,Live Heats,72452,1720248,168196,843557,4.1,4.1,,,,0.0,0.0,10.33,1720248_843557
257,Live Heats,72452,1720248,168196,843557,5.33,5.33,,,True,0.0,0.0,10.33,1720248_843557
