,source,event_id,division_id,athlete_id,place,incomplete,name
1503,Live Heats,187562,353289,1177773,4,False,
1504,Live Heats,187562,353289,1170331,5,False,
1505,Live Heats,187562,353289,1165931,5,False,
1506,Live Heats,187562,353289,1167179,7,False,
1507,Live Heats,187562,353289,1166237,7,False,
1508,Live Heats,187562,353289,1171423,9,False,
1509,Live Heats,187562,353289,1166832,10,False,
1510,Live Heats,187562,353289,1189668,11,False,
1511,Live Heats,187562,353289,1169644,11,False,
1512,Live Heats,187562,353290,843691,1,False,
1513,Live Heats,187562,353290,527155,2,False,
1514,Live Heats,187562,353290,820094,3,False,
1515,Live Heats,187562,353290,1165941,4,False,
1516,Live Heats,187562,353290,822932,5,False,
1517,Live Heats,187562,353290,835109,5,False,
1518,Live Heats,187562,353290,818279,7,False,
1519,Live Heats,187562,353290,1166082,7,False,
1520,Live Heats,187562,353290,1166233,9,False,
1521,Live Heats,187562,353290,1171826,9,False,
1522,Live Heats,187562,353290,1169354,9,False,
1523,Live Heats,187562,353290,818679,9,False,
1524,Live Heats,187562,353290,844750,13,False,
1525,Live Heats,187562,353290,817916,13,False,
1526,Live Heats,187562,353290,1169635,13,False,
1527,Live Heats,187562,353290,1334796,13,False,
1528,Live Heats,187562,353290,1166133,17,False,
1529,Live Heats,187562,353290,843557,17,False,
1530,Live Heats,187562,353290,814748,17,False,
1531,Live Heats,187562,353290,1169471,17,False,
1532,Live Heats,187562,353290,1176483,21,False,
1533,Live Heats,187562,353290,1162812,21,False,
1534,Live Heats,187562,353290,527167,21,False,
1535,Live Heats,187562,353290,1163257,21,False,
1536,Live Heats,187562,353290,1171678,25,False,
1537,Live Heats,187562,353290,1181562,26,False,
1538,Live Heats,187562,353290,1183815,27,False,
1539,Live Heats,187562,353290,1167311,27,False,
1540,Live Heats,187562,353290,1182249,29,False,
1541,Live Heats,187562,353290,1170707,29,False,
1542,Live Heats,187562,353291,1168147,1,False,
1543,Live Heats,187562,353291,1519364,2,False,
1544,Live Heats,187562,353291,1168159,3,False,
1545,Live Heats,187562,353291,1169313,3,False,
1546,Live Heats,187562,353291,1168121,5,False,
1547,Live Heats,187562,353291,1171845,5,False,
1548,Live Heats,187562,353291,813428,7,False,
1549,Live Heats,187562,353291,1076681,7,False,
1550,Live Heats,187562,353291,1168151,7,False,
1551,Live Heats,187562,353291,1169378,10,False,
1552,Live Heats,187562,400714,1177773,1,False,
1553,Live Heats,187562,400714,1166237,2,False,
1554,Live Heats,187562,400714,1166832,3,False,
1555,Live Heats,187562,400714,1169644,4,False,
1556,Live Heats,187562,400714,1176427,4,False,
